,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,227,1,13,4,1,14,0,1,0,0,15,10,2,19,1,3,0,1,0,1,4
Construction,3,256,17,4,2,15,2,0,3,2,30,14,8,16,0,3,3,2,3,0,3
Consumer Goods,11,17,296,2,0,35,0,1,1,1,24,14,5,43,7,9,1,14,3,4,18
Financial Services,5,3,6,316,1,33,10,3,1,0,2,14,2,2,4,3,3,0,1,2,1
Human Resources,1,0,1,3,124,8,1,1,1,0,4,32,5,1,2,4,0,0,0,3,2
Information Technology and Services,8,3,20,18,7,1228,1,2,2,10,12,73,19,14,49,15,3,3,1,10,7
Insurance,3,1,1,14,0,6,89,1,0,0,0,4,1,0,0,2,2,0,0,0,1
Legal Services,1,0,3,4,1,2,0,112,0,0,0,2,1,0,0,0,1,0,0,1,0
"Leisure, Travel & Tourism",0,0,1,1,1,6,0,0,102,0,0,0,2,1,0,0,2,5,0,0,1
Logistics and Supply Chain,3,1,5,1,0,7,0,0,0,105,6,7,1,5,1,1,0,1,1,1,1
Machinery,15,22,27,3,0,25,0,1,0,1,256,7,2,118,0,4,3,2,5,1,13
Management Consulting,5,20,9,14,21,120,3,6,1,1,7,394,29,3,12,11,3,0,4,3,1
Marketing and Advertising,1,11,10,2,2,33,0,0,3,2,5,21,392,2,25,3,4,2,0,0,4
Mechanical or Industrial Engineering,20,19,40,0,1,40,0,0,0,4,91,9,1,328,1,6,0,2,2,0,13
Media Production,0,1,8,4,0,64,1,1,2,2,1,12,56,2,77,1,1,4,0,3,1
Medical Practice,0,2,13,2,0,21,2,0,0,1,5,14,3,12,0,267,1,7,1,0,5
Real Estate,0,12,7,12,1,7,2,0,2,1,2,4,1,1,1,1,179,1,1,1,0
Recreational Facilities and Services,0,2,7,0,2,9,0,0,2,0,9,0,10,6,2,5,1,96,1,0,4
Renewables & Environment,3,5,5,2,0,4,0,0,0,0,18,1,1,14,0,1,0,0,49,0,0
Telecommunications,2,2,14,0,1,37,0,0,0,1,1,4,5,3,0,0,2,1,1,60,3
Wholesale,8,10,29,4,0,5,1,0,0,3,19,1,7,12,0,8,1,8,0,1,115
