,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,212,2,21,2,1,22,0,0,0,1,21,12,3,16,0,0,0,1,0,2,1
Construction,3,245,22,1,0,31,0,0,3,0,28,19,7,14,0,2,6,0,3,0,2
Consumer Goods,7,8,351,2,0,43,0,2,0,0,20,13,1,34,1,9,1,7,1,0,6
Financial Services,10,0,2,317,0,34,11,2,1,0,2,21,2,3,1,3,0,1,0,2,0
Human Resources,0,0,0,1,109,30,0,0,0,0,2,41,7,1,0,1,0,0,0,0,1
Information Technology and Services,4,4,26,17,4,1281,0,2,4,6,5,76,33,5,19,7,2,1,0,7,2
Insurance,2,0,1,12,0,12,84,0,0,0,3,6,2,1,0,1,0,0,0,1,0
Legal Services,0,1,0,4,0,3,0,108,0,0,2,8,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,7,0,0,102,0,1,1,2,0,0,1,1,4,0,0,0
Logistics and Supply Chain,2,2,4,0,0,11,0,0,0,103,6,7,3,6,0,0,0,0,1,0,2
Machinery,10,14,32,3,0,36,0,0,0,2,265,18,2,99,1,7,3,2,4,0,7
Management Consulting,1,10,11,9,18,154,3,3,1,2,4,396,32,7,5,5,2,1,2,1,0
Marketing and Advertising,4,4,19,1,0,61,0,0,2,1,7,19,380,5,9,3,1,1,0,3,2
Mechanical or Industrial Engineering,16,16,53,1,0,38,0,0,0,5,91,9,4,327,1,4,0,2,2,0,8
Media Production,0,0,15,4,2,87,0,0,3,2,0,9,67,1,45,1,1,1,0,3,0
Medical Practice,1,0,23,2,0,36,2,0,0,2,9,19,5,10,0,243,0,4,0,0,0
Real Estate,0,13,4,12,0,20,1,0,2,1,2,7,3,2,0,0,169,0,0,0,0
Recreational Facilities and Services,0,2,18,0,0,12,0,0,3,0,3,5,5,6,0,4,0,93,0,0,5
Renewables & Environment,1,2,7,1,0,11,0,0,0,0,18,3,0,9,0,1,0,0,50,0,0
Telecommunications,0,3,18,0,1,50,0,0,0,0,3,3,9,3,0,0,2,0,1,42,2
Wholesale,3,4,45,1,0,22,0,0,0,1,23,5,7,16,0,6,1,8,0,0,90
