,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,215,3,12,2,1,23,0,0,0,1,19,7,3,21,1,1,0,4,0,0,4
Construction,2,261,19,2,1,30,1,0,3,0,21,8,9,14,0,2,5,0,3,0,5
Consumer Goods,10,15,303,1,1,40,0,1,0,1,28,7,4,48,2,11,1,12,3,2,16
Financial Services,6,2,4,319,1,43,9,2,1,0,1,13,3,1,2,4,0,1,0,0,0
Human Resources,0,2,0,0,122,20,1,1,1,0,1,33,4,1,1,5,0,0,0,0,1
Information Technology and Services,5,4,22,11,7,1274,1,5,2,9,5,60,33,11,27,13,1,1,1,9,4
Insurance,0,1,3,13,0,10,87,0,0,0,1,4,0,1,0,2,3,0,0,0,0
Legal Services,0,0,2,3,0,4,0,116,0,0,0,2,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,4,1,1,5,0,0,100,0,1,2,3,0,0,0,0,3,0,1,0
Logistics and Supply Chain,3,2,4,1,0,13,0,0,0,101,6,4,1,8,0,0,0,0,1,0,3
Machinery,8,23,15,1,2,30,0,0,0,2,263,9,6,119,0,5,3,2,0,1,16
Management Consulting,1,18,7,11,22,133,4,6,0,4,3,395,27,9,9,10,2,0,1,2,3
Marketing and Advertising,4,12,7,2,0,50,0,0,2,2,3,24,381,2,19,3,1,3,0,2,5
Mechanical or Industrial Engineering,18,22,26,0,2,40,0,0,0,4,72,13,3,355,0,6,1,3,0,0,12
Media Production,0,0,11,2,3,79,0,0,3,1,0,8,54,1,67,4,5,0,0,2,1
Medical Practice,1,1,10,3,0,24,4,0,0,2,4,13,5,12,0,271,0,5,1,0,0
Real Estate,0,19,0,8,0,14,2,1,3,1,2,4,2,2,1,1,176,0,0,0,0
Recreational Facilities and Services,0,0,7,0,1,10,0,0,2,0,14,0,5,7,0,7,1,92,0,1,9
Renewables & Environment,1,3,7,0,0,7,0,0,0,1,19,1,1,11,0,0,0,0,52,0,0
Telecommunications,0,5,13,0,1,39,0,0,0,0,4,5,8,3,2,0,0,0,1,54,2
Wholesale,5,8,38,0,0,10,0,0,0,2,20,4,8,12,1,6,0,7,0,1,110
