,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,174,2,21,0,0,36,1,0,0,1,13,12,10,39,1,0,1,0,1,0,5
Construction,0,209,29,0,1,48,1,0,6,1,24,25,4,17,0,2,13,0,4,0,2
Consumer Goods,7,12,279,1,0,60,2,1,1,0,29,15,4,64,2,3,0,5,2,4,15
Financial Services,8,2,4,284,0,59,11,3,0,0,2,24,1,2,1,3,5,0,1,1,1
Human Resources,0,2,1,0,92,41,0,1,0,0,3,38,8,4,0,3,0,0,0,0,0
Information Technology and Services,5,5,24,16,3,1268,2,2,2,4,9,58,31,24,20,12,4,3,1,9,3
Insurance,0,0,0,13,0,15,86,0,0,0,0,7,1,1,0,0,2,0,0,0,0
Legal Services,0,2,0,6,0,8,0,99,0,0,1,9,1,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,1,1,0,12,1,0,98,0,0,1,0,1,0,0,2,5,0,0,0
Logistics and Supply Chain,4,2,6,2,1,22,0,0,0,81,5,9,4,6,1,0,0,0,1,0,3
Machinery,7,18,29,2,0,53,0,0,1,3,211,15,5,141,0,2,1,0,3,1,13
Management Consulting,0,13,12,16,17,181,3,4,3,4,11,345,29,7,4,9,3,1,1,2,2
Marketing and Advertising,3,8,15,4,0,76,0,0,2,2,3,27,354,5,7,4,1,1,1,1,8
Mechanical or Industrial Engineering,8,11,58,0,1,62,0,0,0,0,73,11,3,329,1,5,0,0,3,0,12
Media Production,1,0,11,3,0,96,0,1,2,0,0,13,69,1,35,3,0,1,0,3,2
Medical Practice,0,3,18,0,0,53,2,0,0,1,6,19,0,23,1,223,1,1,0,0,5
Real Estate,0,12,2,10,0,29,1,0,3,2,0,11,3,1,0,0,161,0,0,0,1
Recreational Facilities and Services,0,0,26,0,2,25,0,0,2,0,5,6,9,7,1,4,0,53,0,0,16
Renewables & Environment,0,4,5,0,0,17,0,0,0,0,18,5,2,11,0,0,0,0,41,0,0
Telecommunications,0,4,16,1,0,60,0,0,0,0,2,6,4,3,1,0,0,0,1,37,2
Wholesale,5,4,54,1,0,15,0,0,0,1,19,3,8,20,2,3,0,4,0,0,93
