,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,233,1,9,4,2,18,0,0,0,1,14,6,3,21,0,0,0,1,0,0,4
Construction,1,283,16,1,1,18,0,0,2,1,20,6,7,15,1,2,5,1,3,0,3
Consumer Goods,9,13,307,5,0,42,0,1,2,0,20,9,6,44,5,6,1,10,4,2,20
Financial Services,6,1,4,325,0,33,11,2,0,0,2,17,2,0,1,4,1,1,2,0,0
Human Resources,0,0,2,2,128,17,0,0,1,0,2,31,5,1,0,3,0,0,0,0,1
Information Technology and Services,7,5,19,12,7,1271,2,3,5,8,5,55,27,14,32,16,3,3,1,7,3
Insurance,0,0,0,15,0,9,93,0,0,0,1,1,1,1,0,1,3,0,0,0,0
Legal Services,0,0,1,5,0,3,0,117,0,0,0,1,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,2,1,1,5,0,0,103,0,0,1,2,1,0,0,1,3,0,0,0
Logistics and Supply Chain,4,2,6,1,0,8,1,0,0,104,5,4,0,5,1,1,0,0,1,1,3
Machinery,10,22,14,2,0,26,0,0,1,1,275,9,0,120,1,4,3,2,4,1,10
Management Consulting,2,16,8,12,17,134,3,6,2,2,3,403,28,3,5,12,3,2,2,3,1
Marketing and Advertising,1,10,8,3,1,42,0,0,2,2,3,20,390,4,21,2,1,2,1,1,8
Mechanical or Industrial Engineering,16,18,34,0,2,31,0,0,0,3,77,8,1,368,1,5,0,1,0,0,12
Media Production,0,1,9,4,1,78,0,2,3,1,0,8,57,2,67,3,0,1,0,2,2
Medical Practice,0,0,7,0,0,32,2,0,1,1,6,15,4,10,0,272,0,4,1,0,1
Real Estate,1,16,2,6,0,11,1,0,2,1,2,5,4,2,2,0,180,1,0,0,0
Recreational Facilities and Services,1,2,8,0,1,6,0,0,4,0,3,1,7,4,0,5,1,108,1,1,3
Renewables & Environment,1,3,6,0,0,3,0,0,0,0,11,3,1,14,1,1,0,0,59,0,0
Telecommunications,2,5,14,1,1,47,0,0,0,0,2,3,6,2,3,1,0,1,1,45,3
Wholesale,7,4,33,0,1,7,0,0,0,1,20,4,8,12,1,5,0,10,0,1,118
